Site_Number,Site_Name,Coast_Main,Island_Main,Island_Class_1,Island_Class_2,Island_Class_3,Site_Type_1,Notable_Features,Min_Depth_Range_Meters,Max_Depth_Range_Meters,Difficulty_Level
26,Koh Bon Pinnacle,Andaman Sea (West Coast),Similan Islands,Ko Bon,Island #10,North,Pinnacle,Deep pinnacle with vertical wall,20,45,Advanced
27,Koh Bon Ridge/West Ridge (Manta Road),Andaman Sea (West Coast),Similan Islands,Ko Bon,Island #10,North,Ridge,Famous for manta ray cleaning stations,10,40,Advanced
28,Koh Bon Bay,Andaman Sea (West Coast),Similan Islands,Ko Bon,Island #10,North,Bay,Protected bay area with gentle reef slope,5,25,Intermediate
29,Koh Tachai Pinnacle/Plateau,Andaman Sea (West Coast),Similan Islands,Ko Tachai,Island #11,North,Pinnacle,Submerged reef with strong currents and pelagics,12,40,Advanced
30,Koh Tachai Reef,Andaman Sea (West Coast),Similan Islands,Ko Tachai,Island #11,North,Reef,More protected area with boulder formations,5,30,Intermediate
31,Ao Mai Ngam,Andaman Sea (West Coast),Surin Islands,Ko Surin Nuea,Island #1,North,Bay,Protected bay with gentle slope and coral garden,3,20,Beginner
32,Ao Chong Kad,Andaman Sea (West Coast),Surin Islands,Ko Surin Nuea,Island #1,North,Channel,Channel with reef and rubble featuring good macro life,5,25,Intermediate
33,Ao Mae Yai,Andaman Sea (West Coast),Surin Islands,Ko Surin Nuea,Island #1,North,Bay,Big Bay with gentle sloping reef and good coral coverage,3,15,Beginner
34,Ao Jaak,Andaman Sea (West Coast),Surin Islands,Ko Surin Nuea,Island #1,North,Bay,Beautiful bay of pristine coral reefs,3,15,Beginner
35,Ao Sai Daeng,Andaman Sea (West Coast),Surin Islands,Ko Surin Nuea,Island #1,North,Reef,Pristine coral reefs and shallow water,3,10,Beginner
36,Ao Sai Ean,Andaman Sea (West Coast),Surin Islands,Ko Surin Nuea,Island #1,North,Reef,Popular spot for snorkelling,3,10,Beginner
37,Ao Pakkad,Andaman Sea (West Coast),Surin Islands,Ko Surin Tai,Island #2,South,Reef,"Simple and colorful reef, good for beginners and snorkelers",5,20,Beginner
38,Ao Tao (Turtle Bay),Andaman Sea (West Coast),Surin Islands,Ko Surin Tai,Island #2,South,Bay,Turtle Bay with shallow coral formations popular for snorkeling,3,15,Beginner
39,Ao Suthep,Andaman Sea (West Coast),Surin Islands,Ko Surin Tai,Island #2,South,Reef,Named after park ranger features small bommies and hard corals,5,25,Intermediate
40,Torinla Pinnacle,Andaman Sea (West Coast),Surin Islands,Ko Khai (Torinla Islet),Island #3,South,Pinnacle,Submerged granite pinnacle with pelagic species,12,40,Advanced
41,Koh Klang,Andaman Sea (West Coast),Surin Islands,Ko Klang (Mankom Islet),Island #4,South,Reef,Islet with surrounding reef system,5,25,Intermediate
42,Koh Chi,Andaman Sea (West Coast),Surin Islands,Koh Chi (Stock Islet),Island #5,North,Point,Southern point with currents and pelagic sightings,8,30,Intermediate
43,Richelieu Rock,Andaman Sea (West Coast),Extended Park,Extended Park,,,Pinnacle,Legendary horseshoe-shaped pinnacle with rich marine life,5,25,Intermediate
